driver_id,name,photo,rating,total_trips,acceptance_rate,license_plate,vehicle_model,phone,join_date,status,vehicle_type,vehicle_year,last_location_lat,last_location_lng,total_earnings,avg_trip_duration,cancellation_rate,languages,vehicle_color
D001,Ahmad Rizki,driver1.jpg,4.8,1523,0.92,B 1234 ABC,Honda Vario,+62812345678,2020-03-15,active,motorcycle,2019,-6.2088,106.8456,45690000,18.5,0.02,"Indonesian, English",Red
D002,Budi Santoso,driver2.jpg,4.5,892,0.85,B 5678 DEF,Yamaha NMAX,+62823456789,2021-07-22,active,motorcycle,2020,-6.2433,106.7987,26760000,22.3,0.05,"Indonesian",Blue
D003,Cahyo Prakoso,driver3.jpg,4.2,234,0.75,B 9012 GHI,Honda Beat,+62834567890,2023-01-10,active,motorcycle,2018,-6.1951,106.8218,7020000,15.7,0.08,Indonesian,White
D004,Dedi Kurniawan,driver4.jpg,4.9,2156,0.96,B 2345 JKL,Honda PCX,+62845678901,2019-11-08,active,motorcycle,2021,-6.2275,106.8007,64680000,19.8,0.01,"Indonesian, English",Black
D005,Eko Prasetyo,driver5.jpg,4.6,1087,0.88,B 6789 MNO,Yamaha Aerox,+62856789012,2020-09-14,active,motorcycle,2020,-6.2633,106.8133,32610000,21.4,0.04,Indonesian,Gray
D006,Fajar Hidayat,driver6.jpg,4.3,456,0.81,B 0123 PQR,Honda Scoopy,+62867890123,2022-05-03,active,motorcycle,2019,-6.1844,106.8227,13680000,16.9,0.06,Indonesian,Pink
D007,Gunawan Setiawan,driver7.jpg,4.7,1789,0.91,B 4567 STU,Suzuki Nex,+62878901234,2020-01-25,active,motorcycle,2020,-6.2297,106.7831,53670000,20.1,0.03,"Indonesian, Javanese",Blue
D008,Hendra Wijaya,driver8.jpg,4.4,723,0.83,B 8901 VWX,Yamaha Mio,+62889012345,2021-12-11,active,motorcycle,2018,-6.2044,106.8194,21690000,17.6,0.05,Indonesian,Red
D009,Irfan Maulana,driver9.jpg,4.1,189,0.72,B 2346 YZA,Honda Vario,+62890123456,2023-08-19,active,motorcycle,2017,-6.2389,106.8022,5670000,14.2,0.09,Indonesian,Silver
D010,Joko Widodo,driver10.jpg,4.8,1634,0.94,B 6790 BCD,Yamaha NMAX,+62801234567,2019-06-30,active,motorcycle,2021,-6.1975,106.8156,49020000,19.3,0.02,"Indonesian, English",White
